Kategori;Afdeling;Vare;Pris (kr.);Beskrivelse;Kategori vises;Vare vises;Udsolgt;Kan bestilles online;Kategoriens dage;Kategorinote
Burgere;Mad;Dobbelt burger;125;To saftige bøffer med smeltet ost, salat, tomat og dressing — til den store sult.;ja;ja;nej;ja;alle;
Burgere;Mad;Bearnaiseburger;90;Saftig bøf med cremet bearnaise, salat og tomat i ristet burgerbolle.;ja;nej;nej;ja;alle;
Burgere;Mad;Chilinaiseburger;90;Saftig bøf med stærk chilimayo, salat og tomat i ristet burgerbolle.;ja;nej;nej;ja;alle;
Burgere;Mad;Cheeseburger;85;Saftig bøf med smeltet ost, sprød salat, tomat, syltede agurker og dressing i ristet burgerbolle.;ja;ja;nej;ja;alle;
Burgere;Mad;Flæskestegsburger;80;Saftig flæskesteg med sprød svær, rødkål og agurkesalat i ristet burgerbolle.;ja;nej;nej;ja;alle;
Burgere;Mad;Frikadelleburger;80;Lun frikadelle med rødkål og dressing i ristet burgerbolle.;ja;nej;nej;ja;alle;
Burgere;Mad;Ekstra tilbehør;10;;ja;ja;nej;ja;alle;
Burgere;Mad;Bearnaise;10;;ja;nej;nej;ja;alle;
Sandwich;Mad;Flæskestegssandwich;80;Saftig flæskesteg med sprød svær, rødkål og agurkesalat i blødt brød.;ja;ja;nej;ja;alle;
Sandwich;Mad;Frikadellesandwich;80;Lun frikadelle i blødt brød med rødkål, agurkesalat og dressing.;ja;ja;nej;ja;alle;
Sandwich;Mad;Sandwich;75;Kebab, kylling, tun, frikadelle eller æg;ja;ja;nej;ja;alle;
Sandwich;Mad;Bøfsandwich;75;Saftig bøf i blødt brød med brun sovs, rødbeder, agurk og ristede løg — den klassiske.;ja;ja;nej;ja;alle;
Pølser;Mad;Pistolpølse;30;Pølse i et sprødt pistolbrød med sennep, ketchup og ristede løg.;ja;nej;nej;ja;alle;
Pølser;Mad;Specialpølse med baconsvøb;35;Pølse svøbt i sprød bacon, i brød med dressing.;ja;nej;nej;ja;alle;
Pølser;Mad;Frankfurter eller specialpølse;40;Baconsvøb 5 kr. ekstra;ja;nej;nej;ja;alle;
Pølser;Mad;Hansen fransk vaffel, stor;50;;ja;nej;nej;ja;alle;
Pølser;Mad;Hansen fransk vaffel, lille;40;;ja;nej;nej;ja;alle;
Pølser;Mad;Dürümrulle;80;Pølse rullet ind i en tynd, varm dürüm med salat og dressing.;ja;nej;nej;ja;alle;
Pølser;Mad;Ristet pølse;30;Ristet pølse med brød, sennep, ketchup og remoulade — som ved pølsevognen.;ja;ja;nej;ja;alle;
Pølser;Mad;Ristet pølse med bacon;35;Ristet pølse svøbt i sprød bacon, med brød og dressing.;ja;ja;nej;ja;alle;
Pølser;Mad;Frankfurter med bacon;45;Frankfurter svøbt i sprød bacon, med brød og dressing.;ja;ja;nej;ja;alle;
Pølser;Mad;Pølsebrød;10;;ja;ja;nej;ja;alle;
Pølser;Mad;Kradser med det hele;15;Pølse med det hele: sennep, ketchup, remoulade, rå og ristede løg og agurkesalat.;ja;ja;nej;ja;alle;
Pølser;Mad;Hotdog, lille;40;Ristet pølse i blødt hotdogbrød med remoulade, ketchup, sennep, ristede løg og agurk.;ja;ja;nej;ja;alle;
Pølser;Mad;Hotdog, stor;50;Ristet pølse i blødt hotdogbrød med remoulade, ketchup, sennep, ristede løg og agurk.;ja;ja;nej;ja;alle;
Pølser;Mad;Fransk hotdog, alm.;40;Pølse i en sprød, udhulet flute med dressing.;ja;nej;nej;ja;alle;
Pølser;Mad;Fransk hotdog, stor;50;Pølse i en sprød, udhulet flute med dressing.;ja;nej;nej;ja;alle;
Pølser;Mad;Frankfurter;40;;ja;ja;nej;ja;alle;
Pølser;Mad;Ostepølse;35;;ja;ja;nej;ja;alle;
Pølser;Mad;Krydderpølse;35;;ja;ja;nej;ja;alle;
Smørrebrød;Mad;Håndmad;27;;ja;nej;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Flæskesteg med surt;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Smørrebrød;55;;ja;nej;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Fiskefilet med remoulade;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Fiskefilet med rejer og mayo;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Frikadelle med surt;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hjemmelavet Hønsesalat;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hjemmelavet Æggesalat;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hjemmelavet Wienersalat;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hjemmelavet Skinkesalat;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Leverpostej med surt;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Dyrlægens natmad;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Kartoffelmad med mayo, løg og bacon;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Rullepølse med sky og løg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hjemmelavet Roastbeef med remoulade og løg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Skinke med italiensk salat;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Skinke med spejlæg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Kylling med bacon og karry;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Spegepølse med sky og løg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Spegepølse med remoulade og ristet løg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hvide sild;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hvide sild med karry;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Æggemad med mayo og løg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Æggemad med bacon og karry;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Hakkebøf med bløde løg og spejlæg;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Ostemad Mellem lageret;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Tomatmad;55;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Rejemad;90;Med mayo og citron — hel skive;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Tartarmad;95;;ja;ja;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Smørrebrød;Mad;Æbleflæsk;75;Kun efter forudbestilling;ja;nej;nej;ja;alle;Hel skive hjemmebagt rugbrød med smør, smurt når du bestiller. Glutenfrit brød eller uden smør — bare sig til. Tartar bestilles dagen før.
Håndmadder;Mad;Flæskesteg med surt, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Fiskefilet med remoulade, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Fiskefilet med rejer og mayo, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Frikadelle med surt, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hjemmelavet hønsesalat, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hjemmelavet Æggesalat, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hjemmelavet Wienersalat med tomat og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hjemmelavet skinkesalat med tomat og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Leverpostej med surt, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Dyrlægens natmad, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Kartoffelmad med mayo, løg og bacon, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Rullepølse med sky og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hjemmelavet Roastbeef med remoulade og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Skinke med italiensk salat, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Skinke med spejlæg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Kylling med bacon og karry, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Spegepølse med sky og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Spegepølse med remoulade og ristet løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hvide sild, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hvide sild med karry, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Æggemad med mayo og løg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Æggemad med bacon og karry, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Hakkebøf med bløde løg og spejlæg, håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Håndmadder;Mad;Ostemad, mellem lageret  håndmad;24;;ja;ja;nej;ja;alle;Halv skive hjemmebagt rugbrød med smør — den lille sultne udgave, smurt når du bestiller. Glutenfrit brød eller uden smør, bare sig til.
Vælg fyld til smørrebrødet;Mad;Flæskesteg med surt;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Fiskefilet med remoulade;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Fiskefilet med rejer og mayo;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Fiskedelle med surt;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Pølsemad med sennep og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Hjemmelavet hønsesalat med bacon;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Æggesalat med bacon;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Wienersalat med tomat og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Hjemmelavet skinkesalat med tomat og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Leverpostej med baconsvøb;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Dyrlægens natmad;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Kartoffelmad med mayo, løg og bacon;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Tomat- eller agurkemad med mayo og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Rullepølse med sky og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Roastbeef med remoulade og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Skinke med italiensk salat;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Skinke med spejlæg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Kylling med bacon og karry;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Spegepølse med sky og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Spegepølse med remoulade og ristede løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Makrelsalat;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Hvide sild;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Hvide sild med karry;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Æggemad med mayo og løg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Æggemad med bacon og karry;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Æggemad med mayo og rejer;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Kartoffel med bløde løg og spejlæg;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Ostemad stærk med peberfrugt;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Lav din egen favorit;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Hakkebøf;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Avokadomad;;;nej;ja;nej;ja;alle;
Vælg fyld til smørrebrødet;Mad;Frikadelle med surt;;;nej;ja;nej;ja;alle;
Tapasfad;Mad;Tapasfad;179;5 slags ost · serranoskinke · chorizo · paté · hummus · oliven · cornichoner · frugt · grønt · baguette · smør · hjemmelavet chilimayo · hjemmelavet tzatziki;ja;ja;nej;nej;alle;
Tapasfad;Mad;Kage;10;;ja;nej;nej;nej;alle;
Platter;Mad;Platte;179;Skal bestilles;ja;ja;nej;ja;alle;
Platter;Mad;Brunchplatte til 2 personer;349;Æg og bacon, skyr med müsli, ost og skinke, marmelade, pandekage, wienerbrød og frugt. Brød og smør.;ja;ja;nej;ja;alle;
Kugleis;Is;1 kugle;35;;ja;ja;nej;ja;alle;
Kugleis;Is;2 kugler;45;;ja;ja;nej;ja;alle;
Kugleis;Is;3 kugler;55;;ja;ja;nej;ja;alle;
Kugleis;Is;Ekstra kugle;10;;ja;ja;nej;ja;alle;
Kugleis;Is;4 kugler;60;;ja;ja;nej;ja;alle;
Kugleis;Is;Strøssel, topping eller guf;8;;ja;ja;nej;ja;alle;
Kugleis;Is;Softice-top;15;;ja;ja;nej;ja;alle;
Kugleis;Is;Ishorn med ca. 6 kugler softice;80;;ja;nej;nej;ja;alle;
Kugleis;Is;Løs vaffel;7;;ja;ja;nej;ja;alle;
Kugleis;Is;Løs vaffel, glutenfri;10;;ja;ja;nej;ja;alle;
Kugleis;Is;Bøtte med topping;20;;ja;ja;nej;ja;alle;
Kugleis;Is;Isboks, ca. 6 kugler eller softice;80;6 kugler efter eget valg — eller fyldt med softice;ja;ja;nej;ja;alle;
Kugleis;Is;Mosede Isen;65;;ja;ja;nej;ja;alle;
Sliders;Mad;Slider med roastbeef;40;Lille blød bolle med roastbeef, remoulade og ristede løg.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med hønsesalat;40;Lille blød bolle med cremet hønsesalat.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med æggesalat;40;Lille blød bolle med cremet æggesalat.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med leverpostej;40;Lille blød bolle med leverpostej.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med æg;40;Lille blød bolle med æg.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med æg og rejer;40;Lille blød bolle med æg og rejer.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med flæskesteg;40;Lille blød bolle med flæskesteg og rødkål.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med frikadelle;40;Lille blød bolle med frikadelle og rødkål.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med spegepølse;40;Lille blød bolle med spegepølse.;ja;ja;nej;nej;alle;
Sliders;Mad;Slider med laks;40;Lille blød bolle med laks.;ja;ja;nej;nej;alle;
Softice og vafler;Is;Softice, lille;37;Cremet softice i sprød vaffel — med guf, sauce eller drys, hvis du vil.;ja;ja;nej;ja;alle;
Softice og vafler;Is;Softice, stor;47;En stor, cremet softice i sprød vaffel — med guf, sauce eller drys, hvis du vil.;ja;ja;nej;ja;alle;
Softice og vafler;Is;Sauce, topping eller guf;8;;ja;ja;nej;ja;alle;
Softice og vafler;Is;Sundae med sauce og topping;45;Softice i bæger med sauce og topping.;ja;ja;nej;ja;alle;
Softice og vafler;Is;Belgisk vaffel;;;ja;nej;nej;ja;alle;
Softice og vafler;Is;Bubblewaffle, 1 kugle;59;Inkl. drys og sovs;ja;ja;nej;ja;alle;
Softice og vafler;Is;Bubblewaffle, 2 kugler eller softice;67;Inkl. drys og sovs;ja;ja;nej;ja;alle;
Softice og vafler;Is;Churros med sukker og kanel;45;Lune, sprøde churros vendt i sukker og kanel.;ja;ja;nej;ja;alle;
Softice og vafler;Is;Bubblewaffle mix;65;Frisk frugt efter dagen, sauce & topping;ja;ja;nej;ja;alle;
Softice og vafler;Is;Churros med is og sauce;67;Lune, sprøde churros med is og sauce.;ja;ja;nej;ja;alle;
Softice og vafler;Is;2 hjemmelavede pandekager med sukker;42;;ja;ja;nej;ja;alle;
Softice og vafler;Is;2 hjemmelavede pandekager med is;65;;ja;ja;nej;ja;alle;
Softice og vafler;Is;Bakke med vaffelknas, softice, sauce og topping;55;;ja;ja;nej;ja;alle;
Reception og pindemad;Mad;Pindemad med skinke og ost;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med hønsesalat;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med æggesalat;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med wienersalat;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
